               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082253,            0.018898,            0.033695,                   0,                   0,                   0,                   0,                   0,           0.0024684,                   0,           0.0033308,           0.0033308,            0.070023
                   1,             0.06755,            0.017145,            0.022506,                   0,                   0,                   0,                   0,                   0,           0.0013968,                   0,           0.0066421,           0.0066421,            0.040001
                   2,            0.065553,            0.016738,            0.021277,                   0,                   0,                   0,                   0,                   0,            0.001857,                   0,           0.0099315,           0.0099315,           0.0099568
                   3,            0.064035,            0.016716,            0.020473,                   0,                   0,                   0,                   0,                   0,           0.0019304,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.062019,            0.016579,             0.01913,                   0,                   0,                   0,                   0,                   0,           0.0016048,                   0,            0.009901,            0.009901,            0.009901
                   5,             0.06089,            0.016265,            0.018165,                   0,                   0,                   0,                   0,                   0,           0.0022008,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.059693,            0.016133,            0.017629,                   0,                   0,                   0,                   0,                   0,           0.0011848,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.059071,            0.016112,            0.017006,                   0,                   0,                   0,                   0,                   0,           0.0022664,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.058553,            0.015838,            0.016924,                   0,                   0,                   0,                   0,                   0,           0.0022311,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.058033,            0.015958,            0.016476,                   0,                   0,                   0,                   0,                   0,           0.0019697,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.057862,            0.015624,            0.015937,                   0,                   0,                   0,                   0,                   0,           0.0023689,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.057501,            0.015904,            0.016006,                   0,                   0,                   0,                   0,                   0,           0.0011827,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.057033,            0.015714,             0.01592,                   0,                   0,                   0,                   0,                   0,           0.0010094,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.056705,            0.015814,            0.015621,                   0,                   0,                   0,                   0,                   0,           0.0011542,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.056188,            0.015545,             0.01522,                   0,                   0,                   0,                   0,                   0,           0.0014267,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.056325,            0.015664,            0.015181,                   0,                   0,                   0,                   0,                   0,           0.0018389,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.056036,            0.015721,            0.014861,                   0,                   0,                   0,                   0,                   0,           0.0014144,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.055766,              0.0156,            0.014782,                   0,                   0,                   0,                   0,                   0,            0.001232,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.055843,            0.015428,            0.014946,                   0,                   0,                   0,                   0,                   0,           0.0015043,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.055448,            0.015403,            0.014579,                   0,                   0,                   0,                   0,                   0,           0.0016163,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.055412,            0.015553,            0.014695,                   0,                   0,                   0,                   0,                   0,           0.0016144,                   0,            0.009373,            0.009373,            0.009373
                  21,             0.05526,            0.015419,            0.014328,                   0,                   0,                   0,                   0,                   0,           0.0014911,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.055297,            0.015673,            0.014581,                   0,                   0,                   0,                   0,                   0,           0.0015743,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.055209,            0.015379,            0.014631,                   0,                   0,                   0,                   0,                   0,           0.0010336,                   0,            0.009274,            0.009274,            0.009274
                  24,             0.05478,            0.015456,            0.014059,                   0,                   0,                   0,                   0,                   0,           0.0012157,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.055125,            0.015414,            0.014126,                   0,                   0,                   0,                   0,                   0,           0.0015766,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.054608,            0.015439,            0.013983,                   0,                   0,                   0,                   0,                   0,           0.0021339,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.054656,            0.015361,            0.013996,                   0,                   0,                   0,                   0,                   0,           0.0019028,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.054261,            0.015368,             0.01388,                   0,                   0,                   0,                   0,                   0,           0.0017604,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.054289,            0.015501,            0.013949,                   0,                   0,                   0,                   0,                   0,           0.0020088,                   0,            0.009076,            0.009076,            0.009076
                  30,             0.05439,            0.015376,            0.013624,                   0,                   0,                   0,                   0,                   0,            0.001734,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.054084,            0.015312,            0.013665,                   0,                   0,                   0,                   0,                   0,           0.0013147,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.053878,            0.015366,            0.013456,                   0,                   0,                   0,                   0,                   0,           0.0011328,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.053936,            0.015207,            0.013709,                   0,                   0,                   0,                   0,                   0,          0.00093857,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.053907,            0.015311,            0.013527,                   0,                   0,                   0,                   0,                   0,          0.00096354,                   0,            0.008911,            0.008911,            0.008911
                  35,             0.05395,            0.015066,            0.013102,                   0,                   0,                   0,                   0,                   0,          0.00098333,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.053796,            0.015345,            0.013362,                   0,                   0,                   0,                   0,                   0,           0.0010442,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.053731,             0.01523,            0.013321,                   0,                   0,                   0,                   0,                   0,             0.00115,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.053519,            0.015297,            0.013229,                   0,                   0,                   0,                   0,                   0,           0.0011523,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.053072,            0.015111,            0.012871,                   0,                   0,                   0,                   0,                   0,           0.0012528,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.053504,            0.015297,            0.012968,                   0,                   0,                   0,                   0,                   0,           0.0014989,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.053364,            0.015322,            0.012928,                   0,                   0,                   0,                   0,                   0,            0.001565,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.053167,            0.015241,            0.012877,                   0,                   0,                   0,                   0,                   0,           0.0015109,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.053377,            0.015071,            0.012986,                   0,                   0,                   0,                   0,                   0,           0.0015708,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.053087,            0.015065,            0.012815,                   0,                   0,                   0,                   0,                   0,           0.0015846,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.053164,            0.015215,            0.012811,                   0,                   0,                   0,                   0,                   0,           0.0015732,                   0,            0.008548,            0.008548,            0.008548
                  46,             0.05315,            0.015088,            0.012603,                   0,                   0,                   0,                   0,                   0,           0.0015739,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.053113,            0.015307,             0.01286,                   0,                   0,                   0,                   0,                   0,           0.0015892,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.052976,            0.015055,            0.012745,                   0,                   0,                   0,                   0,                   0,           0.0015616,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.052832,            0.015147,            0.012425,                   0,                   0,                   0,                   0,                   0,           0.0015418,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.053088,             0.01532,            0.012663,                   0,                   0,                   0,                   0,                   0,           0.0015197,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.053163,            0.015138,            0.012781,                   0,                   0,                   0,                   0,                   0,           0.0014654,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.052841,            0.015146,            0.012586,                   0,                   0,                   0,                   0,                   0,            0.001479,                   0,            0.008317,            0.008317,            0.008317
                  53,             0.05272,            0.015148,            0.012515,                   0,                   0,                   0,                   0,                   0,           0.0014743,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.052643,            0.015122,            0.012596,                   0,                   0,                   0,                   0,                   0,           0.0014852,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.052931,            0.014865,            0.012657,                   0,                   0,                   0,                   0,                   0,           0.0014899,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.052698,            0.015189,            0.012504,                   0,                   0,                   0,                   0,                   0,           0.0014944,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.052848,            0.015023,            0.012714,                   0,                   0,                   0,                   0,                   0,           0.0014848,                   0,            0.008152,            0.008152,            0.008152
                  58,             0.05254,            0.014793,            0.012631,                   0,                   0,                   0,                   0,                   0,           0.0014578,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.052736,            0.015033,            0.012244,                   0,                   0,                   0,                   0,                   0,            0.001445,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.052282,            0.015123,             0.01209,                   0,                   0,                   0,                   0,                   0,           0.0014385,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.052425,            0.015045,            0.012195,                   0,                   0,                   0,                   0,                   0,           0.0014356,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.052158,            0.015068,             0.01222,                   0,                   0,                   0,                   0,                   0,           0.0014223,                   0,            0.007987,            0.007987,            0.007987
                  63,             0.05214,            0.015182,            0.012337,                   0,                   0,                   0,                   0,                   0,           0.0014375,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.051383,            0.014968,            0.010975,                   0,                   0,                   0,                   0,                   0,           0.0014449,                   0,            0.007921,            0.007921,            0.007921
                  65,             0.05096,            0.015036,            0.010631,                   0,                   0,                   0,                   0,                   0,           0.0014525,                   0,            0.007888,            0.007888,            0.007888
                  66,             0.05121,            0.015001,            0.010806,                   0,                   0,                   0,                   0,                   0,           0.0014625,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.050994,            0.015048,            0.010839,                   0,                   0,                   0,                   0,                   0,           0.0014556,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.051221,            0.015231,            0.011033,                   0,                   0,                   0,                   0,                   0,           0.0014511,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.052612,             0.01511,            0.012163,                   0,                   0,                   0,                   0,                   0,           0.0014399,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.052228,            0.015034,            0.012185,                   0,                   0,                   0,                   0,                   0,           0.0014221,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.052108,            0.015092,            0.011956,                   0,                   0,                   0,                   0,                   0,           0.0014049,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.052034,            0.014917,            0.012106,                   0,                   0,                   0,                   0,                   0,           0.0014127,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.052119,            0.015057,            0.011901,                   0,                   0,                   0,                   0,                   0,           0.0013986,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.052039,            0.014774,            0.011597,                   0,                   0,                   0,                   0,                   0,           0.0013964,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.052041,            0.015082,            0.011906,                   0,                   0,                   0,                   0,                   0,           0.0013929,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.051889,            0.014932,              0.0118,                   0,                   0,                   0,                   0,                   0,           0.0013871,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.051767,             0.01503,            0.011636,                   0,                   0,                   0,                   0,                   0,           0.0013813,                   0,            0.007492,            0.007492,            0.007492
                  78,             0.05151,            0.014829,            0.011384,                   0,                   0,                   0,                   0,                   0,           0.0013874,                   0,            0.007459,            0.007459,            0.007459
                  79,             0.05178,            0.014997,            0.011584,                   0,                   0,                   0,                   0,                   0,           0.0013797,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.051711,            0.015067,            0.011543,                   0,                   0,                   0,                   0,                   0,           0.0013793,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.051281,            0.014957,            0.011392,                   0,                   0,                   0,                   0,                   0,           0.0013832,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.051141,             0.01488,            0.010855,                   0,                   0,                   0,                   0,                   0,           0.0013966,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.050705,            0.014919,            0.010479,                   0,                   0,                   0,                   0,                   0,           0.0014136,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.049029,            0.014757,           0.0086084,                   0,                   0,                   0,                   0,                   0,            0.001428,                   0,            0.007261,            0.007261,            0.007261
